Success,Completion Steps,Wall Time (s),max_steps,boundary,clusters,flyover_on_collect,N,spawn_type,seed,success_radius
True,91.0,2.412924499993096,2000,none,3,False,40,uniform,0,70.17642571710877
True,91.0,0.5460834999976214,2000,none,3,True,40,uniform,0,70.17642571710877
True,128.0,0.7762193999951705,2000,none,3,False,40,circle,0,70.17642571710877
True,128.0,0.7890467000106582,2000,none,3,True,40,circle,0,70.17642571710877
True,229.0,1.3414174999925308,2000,none,3,False,40,clusters,0,70.17642571710877
True,229.0,1.433952199993655,2000,none,3,True,40,clusters,0,70.17642571710877
True,282.0,2.919372400006978,2000,none,3,False,80,uniform,0,111.39813200670667
True,282.0,3.061213399996632,2000,none,3,True,80,uniform,0,111.39813200670667
True,1788.0,20.42501269999775,2000,none,3,False,80,circle,0,111.39813200670667
True,1788.0,20.525978699995903,2000,none,3,True,80,circle,0,111.39813200670667
True,263.0,2.7105278999952134,2000,none,3,False,80,clusters,0,111.39813200670667
True,263.0,2.8601007999968715,2000,none,3,True,80,clusters,0,111.39813200670667
False,,32.77077299999655,2000,none,3,False,120,uniform,0,145.97284789376158
False,,32.470916899997974,2000,none,3,True,120,uniform,0,145.97284789376158
False,,32.153634600006626,2000,none,3,False,120,circle,0,145.97284789376158
False,,33.51227700000163,2000,none,3,True,120,circle,0,145.97284789376158
False,,31.21676870000374,2000,none,3,False,120,clusters,0,145.97284789376158
False,,31.649528900001314,2000,none,3,True,120,clusters,0,145.97284789376158
