Success,Completion Steps,Wall Time (s),Drone Count,Target_X,Target_Y,max_steps,boundary,clusters,dt,drone_xy,k_nn,conditionally_apply_repulsion,N,spawn_type,seed,target_xy,success_radius
True,1162,24.957937099970877,3,240.0,240.0,100000,none,3,1,"[[0. 0.]
 [5. 0.]
 [0. 5.]]",19,True,100,uniform,0,[240. 240.],40.0
True,1262,22.093257699976675,3,240.0,240.0,100000,none,3,1,"[[0. 0.]
 [5. 0.]
 [0. 5.]]",19,True,100,uniform,1,[240. 240.],40.0
True,1302,22.2911613000324,3,240.0,240.0,100000,none,3,1,"[[0. 0.]
 [5. 0.]
 [0. 5.]]",19,True,100,uniform,2,[240. 240.],40.0
True,2502,44.50422310002614,3,480.0,480.0,100000,none,3,1,"[[0. 0.]
 [5. 0.]
 [0. 5.]]",19,True,100,uniform,0,[480. 480.],40.0
True,2626,46.644607400055975,3,480.0,480.0,100000,none,3,1,"[[0. 0.]
 [5. 0.]
 [0. 5.]]",19,True,100,uniform,1,[480. 480.],40.0
True,2580,45.35515529999975,3,480.0,480.0,100000,none,3,1,"[[0. 0.]
 [5. 0.]
 [0. 5.]]",19,True,100,uniform,2,[480. 480.],40.0
True,3717,66.99578240001574,3,720.0,720.0,100000,none,3,1,"[[0. 0.]
 [5. 0.]
 [0. 5.]]",19,True,100,uniform,0,[720. 720.],40.0
True,3827,91.26639440003783,3,720.0,720.0,100000,none,3,1,"[[0. 0.]
 [5. 0.]
 [0. 5.]]",19,True,100,uniform,1,[720. 720.],40.0
True,3807,90.70004969998263,3,720.0,720.0,100000,none,3,1,"[[0. 0.]
 [5. 0.]
 [0. 5.]]",19,True,100,uniform,2,[720. 720.],40.0
True,4988,104.64113230002113,3,960.0,960.0,100000,none,3,1,"[[0. 0.]
 [5. 0.]
 [0. 5.]]",19,True,100,uniform,0,[960. 960.],40.0
True,4992,110.52976760000456,3,960.0,960.0,100000,none,3,1,"[[0. 0.]
 [5. 0.]
 [0. 5.]]",19,True,100,uniform,1,[960. 960.],40.0
True,4946,112.17438740003854,3,960.0,960.0,100000,none,3,1,"[[0. 0.]
 [5. 0.]
 [0. 5.]]",19,True,100,uniform,2,[960. 960.],40.0
True,6130,121.43050750007387,3,1200.0,1200.0,100000,none,3,1,"[[0. 0.]
 [5. 0.]
 [0. 5.]]",19,True,100,uniform,0,[1200. 1200.],40.0
True,6253,112.65885470004287,3,1200.0,1200.0,100000,none,3,1,"[[0. 0.]
 [5. 0.]
 [0. 5.]]",19,True,100,uniform,1,[1200. 1200.],40.0
True,6234,142.42484450002667,3,1200.0,1200.0,100000,none,3,1,"[[0. 0.]
 [5. 0.]
 [0. 5.]]",19,True,100,uniform,2,[1200. 1200.],40.0
