Success,Completion Steps,Wall Time (s),Drone Count,max_steps,boundary,clusters,dt,drone_xy,k_nn,conditionally_apply_repulsion,N,spawn_type,seed,success_radius
False,,0.9814192919875495,2,2000,none,3,1.0,"[[  0   0]
 [  0 100]]",1,True,2,uniform,0,5.656854249492381
False,,0.9681565420032712,2,2000,none,3,1.0,"[[  0   0]
 [  0 100]]",1,True,7,uniform,0,10.583005244258363
True,865.0,0.3897325410071062,2,2000,none,3,1.0,"[[  0   0]
 [  0 100]]",3,True,7,uniform,0,10.583005244258363
False,,1.4114657500031171,2,2000,none,3,1.0,"[[  0   0]
 [  0 100]]",1,True,12,uniform,0,13.856406460551018
False,,1.5062884579965612,2,2000,none,3,1.0,"[[  0   0]
 [  0 100]]",3,True,12,uniform,0,13.856406460551018
False,,1.4238335830013966,2,2000,none,3,1.0,"[[  0   0]
 [  0 100]]",5,True,12,uniform,0,13.856406460551018
False,,1.8891118329920573,2,2000,none,3,1.0,"[[  0   0]
 [  0 100]]",1,True,17,uniform,0,16.492422502470642
True,1341.0,1.2188079999905312,2,2000,none,3,1.0,"[[  0   0]
 [  0 100]]",3,True,17,uniform,0,16.492422502470642
True,1157.0,1.0496108340012142,2,2000,none,3,1.0,"[[  0   0]
 [  0 100]]",5,True,17,uniform,0,16.492422502470642
True,1305.0,1.196731166986865,2,2000,none,3,1.0,"[[  0   0]
 [  0 100]]",7,True,17,uniform,0,16.492422502470642
True,1045.0,0.9377924170112237,2,2000,none,3,1.0,"[[  0   0]
 [  0 100]]",9,True,17,uniform,0,16.492422502470642
False,,2.2734726250055246,2,2000,none,3,1.0,"[[  0   0]
 [  0 100]]",1,True,22,uniform,0,18.76166303929372
False,,2.1882734579994576,2,2000,none,3,1.0,"[[  0   0]
 [  0 100]]",3,True,22,uniform,0,18.76166303929372
True,1992.0,2.1972456669900566,2,2000,none,3,1.0,"[[  0   0]
 [  0 100]]",5,True,22,uniform,0,18.76166303929372
