Success,Completion Steps,Wall Time (s),Drone Count,max_steps,boundary,clusters,dt,drone_xy,k_nn,conditionally_apply_repulsion,N,spawn_type,seed,success_radius
True,4951.0,184.64715283400437,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",1,True,500,uniform,0,89.44271909999159
True,4707.0,173.5727909999987,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",2,True,500,uniform,0,89.44271909999159
True,4184.0,159.01002804099699,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",3,True,500,uniform,0,89.44271909999159
True,3951.0,143.7834208330023,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",4,True,500,uniform,0,89.44271909999159
True,4262.0,155.18863404198783,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",5,True,500,uniform,0,89.44271909999159
True,4287.0,153.21573654199892,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",6,True,500,uniform,0,89.44271909999159
True,4056.0,145.25604824999755,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",7,True,500,uniform,0,89.44271909999159
True,4080.0,154.55534329199872,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",8,True,500,uniform,0,89.44271909999159
True,4241.0,159.38429487499525,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",9,True,500,uniform,0,89.44271909999159
True,3828.0,136.08084050001344,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",10,True,500,uniform,0,89.44271909999159
True,4044.0,137.85058658299386,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",11,True,500,uniform,0,89.44271909999159
True,4158.0,137.73874333300046,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",12,True,500,uniform,0,89.44271909999159
True,4113.0,137.06883320902125,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",13,True,500,uniform,0,89.44271909999159
True,3911.0,131.3297567499976,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",14,True,500,uniform,0,89.44271909999159
True,3857.0,129.33176095900126,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",15,True,500,uniform,0,89.44271909999159
True,3894.0,130.39417870802572,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",16,True,500,uniform,0,89.44271909999159
True,4005.0,132.9333584580163,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",17,True,500,uniform,0,89.44271909999159
True,4140.0,142.22336666600313,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",18,True,500,uniform,0,89.44271909999159
True,4251.0,148.5792152500071,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",19,True,500,uniform,0,89.44271909999159
True,4009.0,135.22470008398523,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",20,True,500,uniform,0,89.44271909999159
False,,161.8852848749957,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",1,True,500,uniform,1,89.44271909999159
True,4626.0,153.49569916698965,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",2,True,500,uniform,1,89.44271909999159
True,4209.0,137.54351479100296,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",3,True,500,uniform,1,89.44271909999159
True,4067.0,128.83124612498796,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",4,True,500,uniform,1,89.44271909999159
True,4161.0,129.40475454201805,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",5,True,500,uniform,1,89.44271909999159
True,4091.0,126.23467374997563,3,5000,none,3,1.0,"[[  0   0]
 [100   0]
 [  0 100]]",6,True,500,uniform,1,89.44271909999159
