Success,Completion Steps,Wall Time (s),Drone Count,max_steps,boundary,clusters,dog_xy,k_nn,conditionally_apply_repulsion,N,spawn_type,seed,success_radius
False,,2.0557749169820454,3,2000,none,3,"[[ 0  0]
 [ 0 50]
 [50  0]]",1,True,120,uniform,0,43.81780460041329
False,,3.8410912079853006,3,2000,none,3,"[[ 0  0]
 [ 0 50]
 [50  0]]",2,True,120,uniform,0,43.81780460041329
False,,3.1464720410003792,3,2000,none,3,"[[ 0  0]
 [ 0 50]
 [50  0]]",3,True,120,uniform,0,43.81780460041329
False,,3.936425124993548,3,2000,none,3,"[[ 0  0]
 [ 0 50]
 [50  0]]",4,True,120,uniform,0,43.81780460041329
False,,5.326241000002483,3,2000,none,3,"[[ 0  0]
 [ 0 50]
 [50  0]]",5,True,120,uniform,0,43.81780460041329
False,,4.269742749980651,3,2000,none,3,"[[ 0  0]
 [ 0 50]
 [50  0]]",6,True,120,uniform,0,43.81780460041329
False,,5.422259665996535,3,2000,none,3,"[[ 0  0]
 [ 0 50]
 [50  0]]",7,True,120,uniform,0,43.81780460041329
False,,5.6562297089840285,3,2000,none,3,"[[ 0  0]
 [ 0 50]
 [50  0]]",8,True,120,uniform,0,43.81780460041329
False,,7.1612108330009505,3,2000,none,3,"[[ 0  0]
 [ 0 50]
 [50  0]]",9,True,120,uniform,0,43.81780460041329
False,,7.315433750016382,3,2000,none,3,"[[ 0  0]
 [ 0 50]
 [50  0]]",10,True,120,uniform,0,43.81780460041329
False,,6.31099104101304,3,2000,none,3,"[[ 0  0]
 [ 0 50]
 [50  0]]",11,True,120,uniform,0,43.81780460041329
True,561.0,1.6623169170052279,3,2000,none,3,"[[ 0  0]
 [ 0 50]
 [50  0]]",12,True,120,uniform,0,43.81780460041329
False,,7.604516624996904,3,2000,none,3,"[[ 0  0]
 [ 0 50]
 [50  0]]",13,True,120,uniform,0,43.81780460041329
True,601.0,1.8151393340085633,3,2000,none,3,"[[ 0  0]
 [ 0 50]
 [50  0]]",14,True,120,uniform,0,43.81780460041329
True,1053.0,3.5918614999973215,3,2000,none,3,"[[ 0  0]
 [ 0 50]
 [50  0]]",15,True,120,uniform,0,43.81780460041329
True,1633.0,5.632097833004082,3,2000,none,3,"[[ 0  0]
 [ 0 50]
 [50  0]]",16,True,120,uniform,0,43.81780460041329
True,964.0,3.4440842079930007,3,2000,none,3,"[[ 0  0]
 [ 0 50]
 [50  0]]",17,True,120,uniform,0,43.81780460041329
True,648.0,2.2744769580021966,3,2000,none,3,"[[ 0  0]
 [ 0 50]
 [50  0]]",18,True,120,uniform,0,43.81780460041329
